Rank,Team,Record,Points
1,Connecticut,22-1,1795
2,Oklahoma,23-1,1710
3,North Carolina,21-2,1672
4,Pittsburgh,21-2,1583
5,Louisville,18-4,1423
6,Duke,20-3,1350
7,Wake Forest,18-3,1242
8,Memphis,20-3,1237
9,Michigan State,19-4,1214
10,Marquette,20-3,1137
11,UCLA,19-4,1131
12,Clemson,19-3,1097
13,Villanova,19-4,989
14,Xavier,20-3,893
15,Butler,21-2,762
16,Kansas,19-4,751
17,Missouri,20-4,395
18,Arizona State,18-5,389
19,Gonzaga,17-5,361
20,Purdue,17-6,353
21,Utah State,23-1,317
22,Illinois,19-5,303
23,Syracuse,18-6,280
24,Ohio State,17-5,216
25,Florida State,18-5,182
