Rank,Team,Conf,BPI,PVA,Conf_rk,Record,RAW,RAW_rk,SOS,SOS_rk,Var,Var_rk
1,Arizona,Pac-12,92.5,20.6,1,21-1,79.5,4,63.1,43,5.1,351
2,Syracuse,ACC,89.9,17.9,1,22-0,79.8,3,60.1,71,7.6,346
3,Kansas,Big 12,89.8,17.9,1,16-5,68.9,34,71.0,1,8.7,341
4,Florida,SEC,89.5,17.5,1,19-2,77.1,5,62.3,50,5.7,349
5,Kentucky,SEC,88.5,16.7,2,16-5,72.4,20,66.1,9,8.2,345
6,Iowa State,Big 12,88.2,16.5,2,17-4,67.9,40,70.4,2,6.8,347
7,Villanova,Big East,88.0,16.4,1,20-2,76.0,8,62.0,55,10.1,336
8,Pittsburgh,ACC,87.7,16.1,2,18-4,76.1,7,61.6,60,8.2,344
9,Michigan State,Big Ten,87.7,16.1,1,19-3,74.4,17,63.2,42,10.4,332
10,Iowa,Big Ten,87.5,16.0,2,17-5,75.5,11,62.0,54,6.8,348
11,Duke,ACC,87.3,15.8,3,17-5,73.9,18,63.4,37,11.8,321
12,Wichita State,MVC,87.2,15.7,1,23-0,82.5,1,54.7,115,8.6,342
13,Creighton,Big East,86.7,15.4,2,18-3,76.8,6,60.0,76,10.6,331
14,Louisville,AAC,86.1,14.9,1,18-4,80.6,2,55.4,111,10.0,337
15,Ohio State,Big Ten,85.8,14.8,3,17-5,71.5,24,64.3,24,11.2,328
16,Oklahoma State,Big 12,85.5,14.6,3,16-6,70.6,27,65.0,19,10.1,335
17,UCLA,Pac-12,85.0,14.2,2,17-5,70.8,26,64.2,25,11.3,326
18,Wisconsin,Big Ten,84.6,14.0,4,17-5,70.0,30,64.6,22,13.6,300
19,Virginia,ACC,84.0,13.6,4,17-5,71.7,23,62.3,49,13.8,297
20,Michigan,Big Ten,84.0,13.6,5,16-5,68.3,36,65.7,10,11.0,329
21,San Diego State,MW,82.5,12.7,1,19-1,75.6,10,57.0,97,9.6,338
22,Cincinnati,AAC,82.5,12.7,2,21-2,75.2,12,57.4,92,12.4,317
23,Massachusetts,A 10,82.1,12.5,1,17-4,65.7,49,66.4,8,11.4,325
24,Saint Louis,A 10,81.9,12.4,2,20-2,75.1,13,56.8,99,9.4,340
25,Oregon,Pac-12,81.8,12.3,3,15-6,67.1,41,64.7,20,12.6,314
26,Gonzaga,WCC,81.6,12.2,1,20-3,74.9,14,56.6,100,15.4,265
27,Oklahoma,Big 12,81.6,12.2,4,17-5,63.2,66,68.3,3,10.3,333
28,VCU,A 10,81.5,12.1,3,18-4,71.0,25,60.5,68,13.6,302
29,Connecticut,AAC,80.7,11.7,3,17-4,69.6,31,61.1,65,13.1,309
30,SMU,AAC,80.3,11.5,4,17-5,72.2,21,58.1,88,10.3,334
31,Texas,Big 12,79.6,11.2,5,17-4,64.0,61,65.6,11,12.6,315
32,Missouri,SEC,79.5,11.1,3,16-5,65.9,48,63.6,34,12.3,319
33,Harvard,Ivy,78.7,10.7,1,17-3,74.7,16,53.9,123,12.3,318
34,Arizona State,Pac-12,77.8,10.3,4,16-6,66.3,44,61.5,61,17.5,187
35,Stanford,Pac-12,77.7,10.3,5,14-7,60.6,90,67.2,4,15.1,270
36,Minnesota,Big Ten,77.4,10.1,6,15-7,64.1,59,63.3,39,14.3,283
37,Memphis,AAC,77.3,10.1,5,16-5,68.1,38,59.2,79,15.8,254
38,Tennessee,SEC,77.3,10.0,4,14-7,68.1,37,59.2,81,16.5,225
39,G. Washington,A 10,77.0,9.9,4,17-4,67.9,39,59.1,82,16.7,217
