Rank,Team,Record,Points
1,Kansas,22-1,773
2,Kentucky,22-1,731
3,Syracuse,23-1,728
4,West Virginia,19-3,657
5,Villanova,20-2,639
6,Purdue,19-3,599
7,Duke,19-4,574
8,Georgetown,17-5,560
9,Kansas State,19-4,506
10,Michigan State,19-5,455
11,Gonzaga,19-4,427
12,Tennessee,18-4,417
13,Wisconsin,18-5,401
14,Texas,19-4,361
15,Butler,20-4,326
16,Ohio State,18-6,302
17,Brigham Young,22-3,298
18,Northern Iowa,21-2,221
19,New Mexico,21-3,211
20,Georgia Tech,17-6,150
21,Temple,19-5,131
22,Cornell,20-3,112
23,Pittsburgh,17-6,89
24,Vanderbilt,17-5,76
25,UNLV,19-4,55
