Rank,Team,Record,Points
1,Syracuse,21-0,1625
2,Arizona,21-1,1517
3,Florida,19-2,1482
4,Wichita State,23-0,1447
5,San Diego State,19-1,1370
6,Villanova,19-2,1252
7,Cincinnati,21-2,1182
8,Kansas,16-5,1141
9,Michigan State,19-3,1136
10,Michigan,16-5,949
11,Duke,17-5,940
12,Creighton,18-3,790
13,Saint Louis,20-2,728
14,Louisville,18-4,723
15,Texas,17-4,719
16,Iowa State,16-4,717
17,Iowa,17-5,669
18,Kentucky,16-5,653
19,Oklahoma State,16-5,420
20,Virginia,17-5,364
21,Oklahoma,17-5,361
22,Connecticut,17-4,252
23,Gonzaga,20-3,237
24,Memphis,16-5,114
25,Pittsburgh,18-4,110
