Rank,Team,Record,Points
1,Syracuse,21-0,800
2,Wichita State,23-0,745
3,Arizona,21-1,725
4,Florida,19-2,720
5,San Diego State,19-1,680
6,Villanova,19-2,596
7,Cincinnati,21-2,570
8,Michigan State,19-3,546
9,Kansas,16-5,498
10,Louisville,18-4,474
11,Duke,17-5,409
12,Creighton,18-3,404
13,Iowa,17-5,377
14,Kentucky,16-5,372
15,Saint Louis,20-2,362
16,Michigan,16-5,328
17,Iowa State,16-4,290
18,Texas,17-4,287
19,Oklahoma State,16-5,227
20,Gonzaga,20-3,214
21,Virginia,17-5,197
22,Pittsburgh,18-4,99
23,Oklahoma,17-5,94
24,Wisconsin,17-5,72
25,Ohio State,17-5,67
